listing,listing,listing,listing,pricing,pricing,pricing,pricing,location,location,location,location,size,size,size,size,size,legal_and_availability,legal_and_availability,legal_and_availability,legal_and_availability,type_and_year,type_and_year,amenities,amenities,equipment,equipment,equipment,equipment,equipment,equipment,equipment,equipment,media_types,media_types,media_types,media_types,heating,heating,heating,heating,heating,heating,heating,security,security,security,security,security,security,security,windows,windows,windows,windows,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,building_material,additional_information,additional_information,additional_information,additional_information,additional_information,additional_information,additional_information
link,title,summary_description,remote_service,price,rent,total_rent,deposit,complete_address,street,city,voivodeship,square_meters,number_of_rooms,floor,attic,building_floors,available_from,completion,ownership,rent_to_students,building_type,build_year,elevator,parking_space,no_information,stove,fridge,furniture,oven,washing_machine,TV,dishwasher,no_information,internet,telephone,cable_TV,no_information,electric,gas,other,boiler_room,district,tile_stove,no_information,intercom_or_video_intercom,anti_burglary_doors_or_windows,monitoring_or_security,anti_burglary_roller_blinds,alarm_system,enclosed_area,aluminum,no_information,wooden,plastic,concrete,aerated_concrete,no_information,brick,wood,other,lightweight_aggregate,hollow_brick,silicate,large_panel,reinforced_concrete,no_information,duplex,air_conditioning,separate_kitchen,basement,utility_room,non_smokers_only
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-dabrowie-gorniczej-reden-ID4p7or,"2 pokojowe mieszkanie w Dąbrowie Górniczej, Reden","Najem okazjonalny (konieczne notarialnie potwierdzone oświadczenie najemcy, w którym wskazany zostanie inny lokal, w jakim może zamieszkać w razie niewywiązania się z umowy oraz oświadczenie właściciela innego lokalu o wyrażeniu zgody na zamieszkiwanie przez najemcę)

Umowa minimalnie na rok.

Tylko osoby niepalące, bez zwierząt.

Proszę o kontakt sms lub telefoniczny po godz. 16.00

Przytulne, słoneczne 2 pokojowe mieszkanie o powierzchni 39 m2. Oprócz pokoi znajduje się tam przedpokój, kuchnia i łazienka – do każdego pomieszczenia osobne wejście z przedpokoju. Mieszkanie jest umeblowane (jak na zdjęciach - brak możliwości wyniesienia mebli) i gotowe do zamieszkania od zaraz.Pokój dzienny z rozkładaną sofą (powierzchnia spania 140cm/200cm). Z pokoju dziennego wychodzi się na balkon. Funkcjonalna łazienka z wc - płytki gresowe na podłodze, na ścianach tapeta winylowa i częściowo mozaika (nad wanną i umywalką). Wanna metalowa na nóżkach (pod spodem dodatkowe miejsce np. na miskę). Funkcjonalna suszarka sufitowa na pranie (oszczędność miejsca - brak konieczności rozkładania w pokoju suszarki stojącej), piecyk junkers. Do łazienki swobodnie wejdzie wąska pralka (40cm/60cm) – pralka o standardowych wymiarach też się zmieści, ale wejście do łazienki nie będzie zbyt wygodne.Niewielki przedpokój z zabudowaną szafą Komandor (dużo miejsca np. na buty, ubrania wierzchnie, odkurzacz). Do mieszkania przynależy piwnica. Ogrzewanie miejskie, ciepła woda w łazience z junkersa, a w kuchni z elektrycznego przepływowego podgrzewacza. Osiedle jest nisko zabudowane. Niedaleko znajduje się aleja parkowa z ławkami i plac zabaw. Pod blokiem miejsca parkingowe ogólnodostępne dla mieszkańców. Brak uciążliwego ruchu pod oknami. Cicha okolica. Doskonała komunikacja z resztą aglomeracji – blisko przystanek tramwajowy i autobusowy.Kilkanaście metrów od mieszkania znajduje się bardzo dobrze wyposażony sklep osiedlowy. W pobliżu supermarket, całodobowa apteka, targ, przedszkola, szkoły, przychodnia zdrowia. Mieszkanie środkowe (bardzo ciepłe) i słoneczne, położone na pierwszym piętrze w 4 piętrowym bloku. Blok po termomodernizacji. Wejście do klatki z domofonem. Wyposażenie AGD: nowa kuchenka gazowo-elektryczna (kuchenka gazowa + elektryczny piekarnik), okap, lodówka z zamrażalką, nowy odkurzacz.CENA: kwota najmu 1350 zł + czynsz do spółdzielni (na dzień dzisiejszy ok. 395 zł) oraz media (woda, prąd, gaz) wg bieżącego zużycia.Kaucja 2500 zł. Najem bezpośredni, brak kosztów prowizji.Umowa zawierana na minimum rok.",,1350.0,395.0,1745.0,2500.0,"ul. Janusza Korczaka, Reden-Adamiecki, Reden, Dąbrowa Górnicza, śląskie",ul. Janusza Korczaka,Dąbrowa Górnicza,śląskie,39.0,2,1,False,4,,ready_to_move_in,private,False,block_of_flats,,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
https://www.otodom.pl/pl/oferta/mieszkanie-francuska-park-ID4p6wV,Mieszkanie Francuska Park,"Na wynajem duże mieszkanie 92m+30m balkon

Okolica Osiedle Paderewskiego, Francuska Park.

Mieszkanie w pełni wyposażone, duża sypialnia, dwa oddzielne pokoje, duży salon, przestronna kuchnia z wyspą. Łazienka oraz dodatkowo oddzielna toaleta, schowek/spiżarnia oraz podziemne miejsce parkingowe.",unspecified,5500.0,,5500.0,,"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",ul. Szybowcowa,Katowice,śląskie,92.0,3,6,False,8,,ready_to_move_in,private,False,block_of_flats,2023,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
https://www.otodom.pl/pl/oferta/mieszkanie-tysiaclecia-49m2-idealne-dla-pary-ID4p5it,"Mieszkanie Tysiąclecia, 49m2, idealne dla pary","Opis:Zapraszamy do wynajęcia mieszkania o powierzchni 49 m2, położonego na 3 piętrze 4-piętrowego bloku (bez windy) na Osiedlu Tysiąclecia. Mieszkanie idealne dla pary. Składa się z przechodniego pokoju dziennego, sypialni, kuchni z jadalnią, łazienki z WC oraz balkonu, który zapewnia dodatkową przestrzeń do relaksu. Dodatkowo, na parterze budynku znajduje się wózkownia/rowerownia dla mieszkańców oraz własna niewielka piwnica.Wyposażenie:Mieszkanie jest nieumeblowane. Mieszkanie zostało wyposażone w nowoczesną zmywarkę, lodówkę oraz kuchenkę z piekarnikiem, a także pralkę.Udogodnienia:Na każdym piętrze dostępna jest suszarnia, ułatwiająca codzienne funkcjonowanie mieszkańcom. Osiedle Tysiąclecia to także bogata infrastruktura, w tym liczne sklepy (Netto, Lidl, Biedronka, Żabka), żłobki, przedszkola, szkoły, kościół, dom kultury oraz poczta. Bliskość Parku Śląskiego zapewnia możliwość aktywnego wypoczynku na świeżym powietrzu oraz szybki dostęp do licznych atrakcji, takich jak Śląskie Wesołe Miasteczko czy Stadion Śląski.Dostępność:Mieszkanie będzie dostępne od 20 lutego 2024 roku. Wynajem odbywa się bez pośredników, bez prowizji i ukrytych opłat, bezpośrednio od właściciela.Koszty:Cena za wynajem wynosi 2100 zł miesięcznie, dodatkowo płatny czynsz w zależności od liczby mieszańców.Dla 1 osoby: 610 złDla 2 osób: 653 złMedia są płatne według zużycia i przepisane na najemcę.Kaucja:Do podpisania umowy najmu wymagana jest jednorazowa kaucja zwrotna w wysokości 3500 zł.Warunki wynajmu:Najem długoterminowy. Nie wyrażam zgody na posiadanie zwierząt w mieszkaniu.Jeśli poszukujesz komfortowego mieszkania w doskonałej lokalizacji, zapraszamy do kontaktu w celu umówienia się na prezentację.",,2100.0,610.0,2710.0,3500.0,"Osiedle Tysiąclecia, Katowice, śląskie",Osiedle Tysiąclecia,Katowice,śląskie,49.0,3,3,False,4,,ready_to_move_in,private,False,block_of_flats,,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
https://www.otodom.pl/pl/oferta/mieszkanie-1-pokojowe-bez-prowizji-ID4p916,Mieszkanie 1-pokojowe | BEZ PROWIZJI|,"Mieszkanie 1-pokojowe | 30 m2 |8 piętro | Balkon | Odnowione| Miejsce parkingowe | ul. Gen. K. Pułaskiego 27 | Bez prowizji |
 
Położone w bezpośrednim sąsiedztwie terenów zielonych Doliny Trzech Stawów oraz bulwarów rzeki Rawy mieszkanie:
·         z  przestronnym 16 m2 salonem z wyjściem na balkon
·         wydzieloną kuchnią z oknem
·         sypialnią
·         dużą łazienką z toaletą
·         świeżo odnowione
·         z oknami od strony północnego wschodu
 
Mieszkanie znajduje się na 8 piętrze w 8 piętrowym budynku z windą.
Możliwość najmu miejsca postojowego w garażu podziemnym oraz komórki lokatorskiej.
  
Mieszkanie jest wynajmowane w ramach Funduszu Mieszkań na Wynajem przez FSMnW Katowice Sp. z o.o.
Skorzystaj:
·         z bezpiecznej i stabilnej umowy
·         możliwości zameldowania – mieszkasz tak długo jak chcesz
·         mieszkaj ze swoim pupilem – to miejsce przyjazne zwierzętom
·         z serwisu dostępnego 24h w ramach czynszu, obejmującego wszelkie awarie oraz naprawy (np. awaria pralki, zatkany zlew)
  
Standard i wyposażenie:
Wykończone w standardzie “pod klucz”. Kompletnie umeblowane (pełna zabudowa kuchenna, szafy ubraniowe, szafki łazienkowe) i wyposażone w nowoczesny sprzęt AGD. W kuchni znajdziesz lodówkę, pralkę, zmywarkę, płytę grzewczą i piekarnik. Możliwość doposażenia mieszkania w meble ruchome na życzenie.
 
Opłaty:
·         Czynsz najmu: 2 657,68 zł
·         Liczniki wg zużycia (woda, ogrzewanie, prąd, śmieci, ubezpieczenie)
·         Opłata eksploatacyjna: 10,4 zł/m2 związana z utrzymaniem części wspólnych w budynku.
·         Kaucja: już od 1 miesiąca czynszu najmu
 
Informacje dodatkowe:
Lokalizacja przy Dolinie Trzech Stawów to raj dla miłośników aktywnego wypoczynku. W okolicy znajdują się liczne tereny rekreacyjne, siłownie na świeżym powietrzu, korty tenisowe oraz ścieżki spacerowe. W sąsiedztwie znajdziesz sklepy (Biedronka, Żabka), pocztę, paczkomat InPost oraz siłownię całodobową. Dojazd do centrum Katowic jest wygodny dzięki przystankowi autobusowemu Katowice Kasińskiego linii 910.
Skontaktuj się z nami:
+48 801 800 388
+48 22 290 42 69
 
Serdecznie zapraszamy na prezentacje.
 
Niniejsza oferta nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego, a dane w niej zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.",,2657.0,,2657.0,,"ul. gen. Kazimierza Pułaskiego 27, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",ul. gen. Kazimierza Pułaskiego 27,Katowice,śląskie,30.0,1,8,False,8,,,real_estate_agency,True,apartment_building,2017,True,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://www.otodom.pl/pl/oferta/nowoczesne-urzadzone-2-pokojowe-bez-prowizji-ID4krXZ,"Nowoczesne,urządzone 2 pokojowe, bez prowizji","Przedstawiam do wynajmu wyjątkowe mieszkanie w Chorzowie- dzielnicy Batory.

Mieszkanie w skład którego wchodzą : 2 pokoje, przedpokój, kuchnia i łazienka z pełnym wyposażeniem, oraz balkon. Do mieszkania przynależy spora piwnica . Mieszkanie jest wykonane w nowoczesnej aranżacji , a dla przyszłych lokatorów będzie przekazane z pełnym umeblowaniem oraz wyposażeniem AGD i pralką .
Układ mieszkania jest dwustronny : sypialnia i kuchnia usytuowane na wschód , salon z balkonem na południowy zachód.

Mieszkanie po generalnym remoncie , znajduje się na 1 piętrze w 2 piętrowym bloku o powierzchni 48 m2.
Blok mieści się w dzielnicy Batory co daje komfort  szybkiej komunikacji zarówno w kierunku Katowic jak i Gliwic, zarówno samochodem jak i komunikacją miejską - przystanki tuż obok bloku.

Mieszkanie skierowane do osób ceniących komfort i wygodę.


Do kwoty najmy należy dodać czynsz w kwocie ok 320 zł obejmujący fundusz remontowy oraz wywóz nieczystości na 2 osoby.

Dodatkowo płatne : energia elektryczna, woda wg zużycia , oraz gaz którym ogrzewane jest mieszkanie, jak i służy do zasilania pieca kuchennego (nowoczesna instalacja- obecny koszt zużycia - 2 osoby dorosłe to 50 zł miesięcznie).

Opis techniczny :
Na podłogach znajdują się nowe panele oraz kafle
Na ścianach gładzie
Okna PCV
Drzwi zewnętrzne antywłamaniowe
Nowa instalacja elektryczna
Nowa instalacja wodna
Ocieplony blok- elewacja po termoizolacji

Mieszkanie do wynajęcia od 01.04 br.
Oferta od osoby prywatnej .",,2100.0,320.0,2420.0,2100.0,"ul. Ludwika Solskiego, Chorzów Batory, Chorzów, śląskie",ul. Ludwika Solskiego,Chorzów,śląskie,48.0,2,1,False,2,,ready_to_move_in,private,False,block_of_flats,,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
https://www.otodom.pl/pl/oferta/mieszkania-dla-pracownikow-zabrze-bytom-ID4nmsY,"mieszkania dla pracowników, Zabrze, Bytom,","Witam, 


Posiadam na wynajem mieszkania przeznaczone na cele pracownicze. 
Mieszkanie dla 6 osób z mediami 3.250 zł m-c (550 zł/os.) nettoMieszkanie dla 5 osób 3.000 zł m-c (600 zł/os.). nettoMieszkanie dla 4 osób 2.600 zł m-c (650 zł/os.). nettoMieszkanie dla 3 osób 2.100 zł m-c (700 zł/os.). netto

Villa Miechowitz w Bytomiu oferuje wynajem mieszkań dla osób fizycznych jak i firm. Każde mieszkanie ma własną, w pełni wyposażoną, kuchnię oraz łazienkę oraz bezpłatne wi-fi 40 MB/s​.Duży ogrodzony parking oraz budynek są monitorowane. Oferta wynajmu ma charakter długoterminowy, 

Wystawiam faktury VAT.",,2100.0,,2100.0,,"Miechowice, Bytom, śląskie",Miechowice,Bytom,śląskie,40.0,2,1,False,2,,,private,False,historic_apartment_building,,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-osiedle-tysiaclecie-katowice-ID4ocGg,Wynajmę mieszkanie Osiedle Tysiąclecie Katowice,"Dwupokojowe mieszkanie 55.5 m kw. (16 i 11 m kw.) z osobną garderobą (4.5m kw.), z widną kuchnią (11 m kw), bardzo dużym holem(10 m kw.), oraz nową łazienką.(3 m kw.). Z większego pokoju jest wyjście na duży balkon wyłożony płytkami. Wszystkie okna nowe PCV z ekspozycją (z pokojów i kuchni) na stronę wschodnią z bardzo ładnym widokiem na miasto. Podwieszane sufity. W holu, garderobie i kuchni nowe płytki podłogowe. W kuchni nowa kuchnia gazowa BEKO i zmywarka. W pokojach panele podłogowe. Mieszkanie czyste i zadbane. Budynek ocieplony z domofonem. Ogrzewanie miejskie. Ciepła woda –piecyk gazowy. Liczniki: elektryczny, gazowy, wody i ogrzewania. Dobra lokalizacja ul. Piastów 16 Katowice- blisko centrum w pobliżu przystanki autobusowe, szkoła, przedszkole, sklepy, apteka. Czynsz najmu 1900 zł/miesiąc plus opłaty eksploatacyjne do spółdzielni około 800 zł + media (gaz i elektryczność). Kaucja w wysokości 1900zł. Mieszkanie do wynajęcia od zaraz na dłuższy okres czasu. Zapraszamy do oglądania.ID: 881040787",unspecified,1900.0,800.0,2700.0,1900.0,"ul. Piastów, Osiedle Tysiąclecia, Katowice, śląskie",ul. Piastów,Katowice,śląskie,55.0,2,9,False,13,,ready_to_move_in,private,False,block_of_flats,1976,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
https://www.otodom.pl/pl/oferta/0-prowizji-2-pokoje-43-m2-z-klimatyzacja-balkon-ID4oSbP,"0% prowizji! 2 pokoje 43 m2 z klimatyzacją, Balkon","0% prowizji!

Mieszkanie dostępne od 03.2024 r.

Kliknij na ikonę ""wirtualny spacer” (Ikona znajduje się pod zdjęciami) aby zapoznać się z prezentacją nieruchomości w pełnym wymiarze 3D.

Zapraszamy do wynajmu 2 pokojowego komfortowego apartamentu z klimatyzacją i dużym balkonem w nowoczesnym budynku Share Home Silesia znajdującym się w centrum Katowic u zbiegu ulic Przemysłowej, św. Jacka i Brata Alberta.

Mieszkanie wyposażone i umeblowane, gotowe do zamieszkania.

Istnieje możliwość najmu miejsca parkingowego w garażu podziemnym.

Share Home Silesia to nowoczesny budynek ze 111 mieszkaniami przeznaczonymi na wynajem,  położony w centrum Katowic w pobliżu Akademii Muzycznej. Każde z mieszkań jest w pełni wyposażone i umeblowane. W budynku zastosowano kompleksowe rozwiązania energooszczędne. Podziemny garaż oferuje 150 miejsc parkingowych. Dodatkowo, wszystkie mieszkania posiadają balkon lub taras i wyposażone są  w system klimatyzacji i wentylacji z filtrem antysmogowym.

LOKALIZACJA
Lokalizacja budynku pozwala na szybkie dotarcie w dowolne miejsce w Katowicach jak i  miastach ościennych przy wykorzystaniu połączeń autobusowych, tramwajowych i kolejowych. Najbliższy przystanek komunikacji miejskiej znajduje się 350 m od budynku.  Wjazd na autostradę A4 położony jest zaledwie 1,5 km od inwestycji.
Położenie budynku zapewnia bezpośredni dostęp do urzędów, uczelni wyższych, firm i instytucji kultury:

Akademia Muzyczna w Katowicach - 300 m
Biblioteka Śląska - 600 m
Urząd Marszałkowski Województwa Śląskiego, Urząd Wojewódzki - 700 m
Dworzec PKP i Galeria Katowicka– 1 km
Rynek w Katowicach – 1 km
Uniwersytet Ekonomiczny w Katowicach - 1,5 km
Uniwersytet Śląski - 1,5 km
Strefa Kultury (Spodek, Międzynarodowe Centrum Kongresowe, NOSPR, Muzeum Śląskie) - 2 km

WYPOSAŻENIE MIESZKAŃ
*Salon
Salon wyposażony został w rozkładaną sofę lub narożnik z funkcją spania i pojemnikiem na pościel, a także w telewizor, szafkę RTV z półkami oraz stolik kawowy i regał.
*Kuchnia
Kuchnia otwarta na salon wyposażona została w płytę indukcyjną i piekarnik oraz zmywarkę, lodówkę z zamrażarką i okap. Uzupełnieniem funkcjonalnej zabudowy kuchennej z granitowym blatem, zlewem jednokomorowym i oświetleniem podszafkowym jest  stół i cztery krzesła. Posadzka kuchni wyłożona została płytkami.
*Sypialnia
Sypialnia wyposażona została w dwuosobowe łózko oraz  stoliki nocne z lampami. W części mieszkań znajduje się garderoba z systemem półek i wieszaków, pozostałe mieszkania wyposażono w szafy.  W sypialni znajduje się również biurko z krzesłem.
*Łazienka
Łazienka wyposażona została w umywalkę, podświetlane lustro, prysznic, toaletę z systemem podtynkowym oraz szafki umożliwiające przechowywanie kosmetyków i środków czystości. W mieszkaniach o większym metrażu zamontowano wannę. W łazience znajduje się również pralka.
*Przedpokój
Przedpokój wyposażony w szafę oraz duże lustro.
*Tereny wspólne
Drogi dojazdowe i chodnik zostały wybrukowane i odpowiednio oświetlone. Budynek posiada monitoring oraz kontrolę dostępu. Mieszkania oraz klatki wyposażono w wideodomofon.  W budynku zamontowano cichobieżne windy.
ENERGOOSZCZĘDNE SYSTEMY
Budynek wyposażony został w kompleksowe rozwiązania energooszczędne, takie jak kogeneracja, fotowoltaika i pompy ciepła.
Ogrzewanie i chłodzenie mieszkań realizowane jest przez energooszczędne moduły sufitowe (są to urządzenia podobne do klimakonwektorów stosowanych np. w hotelach). W łazienkach zostały zamontowane grzejniki drabinkowe.
Wszystkie mieszkania są klimatyzowane z możliwością regulowania temperatury. Dodatkowo, zastosowany w budynku system wentylacji został wyposażony w filtry antysmogowe.
SMART HOME
W budynku zastosowano rozwiązanie typu Smart Home, dzięki któremu można z dowolnego miejsca sterować temperaturą i zasilaniem elektrycznym w pomieszczeniach.
DOSTĘPNE METRAŻE
Share Home Silesia oferuje na wynajem 111 mieszkań różnej wielkości:

mieszkania 1-pokojowe o metrażach od 25 m2 do 29 m2
mieszkania 2-pokojowe o metrażach od 27 m2 do 54 m2
mieszkania 3-pokojowe o metrażach od 42 m2 do 64 m2
mieszkania 4-pokojowe o metrażu 77 m2

Cena wynajmu mieszkania wynosi: 2 669 zł + opłata eksploatacyjna 450 zł + media.

KONTAKT
W przypadku pytań zapraszamy do kontaktu pod nr tel.: 888 772 555.
Zapraszamy do spotkania z naszymi doradcami i zobaczenia dostępnych mieszkań.
Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Krzysztof Lisiecki - licencja nr 17827.
 Ogłoszenie nie stanowi oferty w rozumieniu kodeksu cywilnego, a dane w niej zawarte mają jedynie charakter informacyjny.",virtual_tour,2669.0,450.0,3119.0,,"ul. Brata Alberta, Śródmieście, Katowice, śląskie",ul. Brata Alberta,Katowice,śląskie,43.0,2,0,False,4,,ready_to_move_in,real_estate_agency,False,apartment_building,2021,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
https://www.otodom.pl/pl/oferta/zostan-pierwszym-najemca-mieszkania-w-sosnowcu-ID4p427,Zostań pierwszym Najemcą mieszkania w Sosnowcu!,"Mieszkanie do wynajęcia w dzielnicy Zagórze przy ul. Bohaterów Monte Cassino. Oferujemy do wynajęcia mieszkanie zlokalizowane w Sosnowcu w dzielnicy Zagórze przy ul. Bohaterów Monte Cassino.Nieruchomość o powierzchni użytkowej 33m2 składa się z przestronnego pokoju, sypialni we wnęce, widnej kuchni, łazienki i wc oraz przedpokoju.  Mieszkanie jest w bardzo dobrym stanie technicznym, świeżo po remoncie. Mieszkanie po zakończeniu prac remontowych nie było zamieszkałe i jest w pełni wyposażone. Lokal znajduje się na 10 piętrze w 10-piętrowym bloku. Wejście do klatki jest zabezpieczone domofonem. Blok jest wyposażony w 2 windy, w tym jedna towarowa. Koło bloku znajduje się duży parking dla mieszkańców.Preferowana umowa w formie najmu okazjonalnego podpisana na rok. DODATKOWE INFORMACJEczynsz najmu: 1500zł + 548,21zł czynsz do spółdzielni + śmieci + media wg zużycia czyli woda, prąd, gazkaucja: 3000złogrzewanie: miejskie, bez podzielnikówciepła woda: z sieci miejskiejliczniki prądu i gazu: przepisane na NajemcęBiuro nieruchomości pobiera prowizję.LOKALIZACJA Osiedle jest bardzo korzystnie zlokalizowane. W pełni wyposażone w infrastrukturę techniczną oraz społeczną. W bezpośrednim sąsiedztwie osiedla znajdują się przystanki komunikacji publicznej, sklepy, szkoły, przedszkole, przychodnia, basen, stadion, lodowisko itp.Szybki i łatwy dojazd do centrum oraz miast ościennych.Serdecznie zapraszamy do umówienia się i obejrzenia mieszkania!KONTAKT:Cztery Kąty Nieruchomości ul. Wspólna 13, Sosnowiectel. 504 404 944",,1500.0,548.0,2048.0,3000.0,"ul. Bohaterów Monte Cassino, Zagórze Południe, Sosnowiec, śląskie",ul. Bohaterów Monte Cassino,Sosnowiec,śląskie,33.0,1,10,False,10,,ready_to_move_in,real_estate_agency,True,block_of_flats,,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
